th_10,th_20,th_30,th_40,th_50,buffer,cdn_count,bit_rate,qoe_label
629.4208932278744,648.9355552352289,621.5822694543377,626.3517266000375,630.8893717116806,0.8400000000000002,51,2,-3.577968238879738
575.0148858281048,544.3388614987974,643.3880399247116,584.4623092019372,528.6722232035861,1.5337016545193631,50,2,-8.184151140450346
552.2528862427793,590.9358628530601,579.891201427375,588.0285904073124,569.8987374061618,1.6400000000000008,51,2,-2.2291931353375594
512.6148344884136,535.3936225604364,579.1052127611425,580.6864319444851,625.7712126840614,1.4962885198071807,50,2,-7.836212350841374
578.1284319350805,584.4545293685321,626.470977381897,612.2647726709909,605.1648608833934,1.3600000000000005,51,3,-9.78260504371924
601.0807935604283,583.5177814034383,579.2134775913648,661.194059053302,653.0128455419053,0.2,51,3,-5.338903043193133
655.7327377927204,585.3790438105927,570.7794701440528,605.9984346353765,657.6619207374018,1.9917532669608173,50,0,-7.16235782035891
599.2943018668426,618.5079654463422,626.7423926946991,618.4496796052407,614.8956597097587,2.4498249539527754,51,2,1.0514261435613281
626.5437012332947,593.7149059986864,569.3068647820979,560.9708167160364,655.11802635107,0.47864472653510626,50,3,-5.642070939801899
641.1541453376492,629.9787079053419,588.8541498783372,702.6518744701508,561.4623896986814,2.000000000000001,50,2,-6.747888627825534
608.5787284300491,587.8126817813246,563.7367122257585,637.7113918431273,711.9139362474009,0.8352255743567297,51,1,0.1304012533100711
602.1196601660304,602.789011523084,590.5061253830488,598.8647226420377,623.3838455088933,0.2690185549735561,50,3,-11.496692325868889
606.7718231574429,635.8424059624732,644.8924675780157,689.0173967123895,617.8519481842293,2.000000000000001,51,0,-0.9007027475201391
589.6000068734064,590.778014750532,597.896983069265,626.3728563441973,624.6186659409698,2.523073831770482,50,2,-4.575319914453045
670.9430080689955,559.061841915582,579.7699757805751,600.6566141507384,568.1700798739195,0.2527159247305476,51,1,-3.0193916756983237
602.5486369019918,536.5382456085728,560.1151132033257,681.7391086499828,633.6194472025641,2.000000000000001,50,2,-0.5634295787288245
534.1758875462175,575.9338825925137,631.1551969015385,596.8069978609724,705.3378827132091,1.8039016920836053,50,2,0.9133158422547515
519.485279508255,653.7922383094535,711.7470302249766,584.0314551546635,603.3480255579416,0.16711401562023195,50,0,-8.708028528806253
581.3102662087394,594.4809476269072,614.2369697541588,549.2437849678862,532.9954887713182,2.000000000000001,51,0,0.0598201892179495
613.418101187912,606.0758930984496,564.0062361162303,590.2820577308532,603.4509444966344,1.3273896829851997,50,2,-0.9556710377683725
660.7435883879853,653.3405213081592,645.937454228333,587.2283400191828,609.3324849608846,1.880000000000001,50,0,-1.3207186144948497
610.5483869853294,616.6959935981911,619.3306821465602,619.3306821465602,623.4719727707027,3.2316344998171966,50,1,0.2580132604852631
594.5954504583223,605.2165512414474,594.4851398537747,533.3518929605842,564.452680485377,2.39984121109952,50,3,-7.342918789487177
603.6362830403879,674.4742134458859,661.4664752361789,596.8965573482021,596.0373697490182,1.840000000000001,51,1,-1.343249938218627
557.088210287477,536.7216744272904,523.1439838538328,535.0164479325642,636.4941354674663,2.7463573462165227,50,2,1.0222588076157366
638.3716857833596,586.5697946113531,571.9085377203337,567.916708158292,630.8725478615661,1.6246031882822214,50,2,1.0393706587059894
690.5657899412774,565.2902394874752,613.1863745058397,596.6726537501992,672.1781898654392,0.09230336741916384,50,2,-9.683620708630198
638.8272020141211,680.3142131494673,642.1749250177181,570.7396401528423,589.2979424278562,2.000000000000001,51,3,-0.7405350541592279
650.4388095954043,640.0220370247924,618.6621916581906,635.3258945844783,581.0861074262566,1.6400000000000008,50,3,-6.908573709304274
605.1808934859389,630.954438052093,562.320742278625,604.4921170569527,650.7390348552735,0.8081921438874644,51,3,-4.932497535947526
589.5266719202657,640.1412105812672,585.5846132589263,636.1051242076167,707.1295635377734,2.000000000000001,50,0,-8.201183458583372
652.0296398438478,537.8163372042094,537.8163372042094,556.3987787060562,599.7578088770317,2.921095033597039,51,0,-0.40438650043227364
565.438471226005,571.0617534222599,576.6200797978979,601.3235302216563,597.2809677775633,1.727056852650277,50,0,-0.3820325000641754
634.839148859899,634.0377479360541,699.1316729597075,610.2288751173537,573.5690733343763,1.2148396264086192,50,0,-0.38553117377929214
629.394312185747,649.9623405881493,681.5175573144137,702.5543684652565,693.147220998959,1.6887297469172609,50,2,-8.103611970564844
650.0149441600063,600.4624571100203,561.7658908684369,600.1056149776398,565.4895745612369,1.2000000000000004,51,0,-1.4410304202583675
