th_time,th
529.090000153,624.86
531.090000153,635.752
533.088999987,584.944
535.088999987,659.596
537.088999987,518.54
539.088000059,625.176
541.088000059,587.456
543.087000132,632.592
545.087000132,541.416
547.126000166,620.16
549.127000093,489.396
551.085000038,603.884
553.085000038,613.32
555.084000111,634.268
557.166000128,568.26
559.125,602.772
561.125,448.604
563.124000072,589.196
565.124000072,587.344
567.1650002,607.316
569.1650002,555.128
571.164000034,609.004
573.164000034,464.316
575.163000107,547.656
577.203000069,555.6
579.202000141,610.72
581.202000141,533.072
583.200999975,593.504
585.203000069,490.016
587.202000141,496.972
589.202000141,595.436
591.200999975,231.476
593.200999975,70.156
595.200000048,150.004
597.241000175,109.876
599.241000175,121.172
601.241000175,440.172
603.24000001,375.388
605.24000001,353.66
607.322000027,670.788
609.322000027,324.096
611.322000027,524.572
613.321000099,460.828
615.361999989,538.056
617.361999989,387.648
619.361000061,452.532
621.361000061,342.744
623.360000134,507.792
625.360000134,417.756
627.401000023,345.728
629.401000023,256.956
631.400000095,258.656
633.400000095,339.42
635.399000168,310.916
637.399000168,324.892
639.398000002,272.952
641.398000002,347.824
643.398000002,431.232
645.397000074,305.036
647.397000074,278.512
649.396000147,303.916
651.396000147,311.844
653.394999981,375.436
655.394999981,279.592
657.394000053,348.796
659.394000053,304.348
661.393000126,241.764
663.393000126,395.504
665.393000126,380.232
667.392000198,422.724
669.392000198,307.568
671.391000032,382.436
673.391000032,577.884
675.390000105,523.136
677.390000105,336.38
679.389000177,345.436
681.389000177,343.012
683.388000011,386.668
685.388000011,309.948
687.387000084,291.22
689.387000084,329.812
691.387000084,356.088
693.386000156,387.216
695.386000156,309.088
697.38499999,271.52
699.38499999,281.124
701.384000063,196.024
703.384000063,302.416
705.383000135,340.68
707.383000135,143.128
709.382000208,234.892
711.382000208,367.508
713.382000208,350.86
715.381000042,268.78
717.42200017,392.348
719.42200017,370.712
721.421000004,363.52
723.421000004,195.5
725.420000076,257.836
727.420000076,228.98
729.420000076,199.64
731.419000149,221.04
733.419000149,331.552
735.417999983,449.412
737.417999983,303.996
739.459000111,660.512
741.417000055,373.416
743.416000128,653.428
745.416000128,337.208
747.496999979,883.86
749.496999979,714.412
751.45600009,705.54
753.496000051,736.508
755.455000162,360.856
757.496000051,232.324
759.496000051,496.668
761.496000051,658.14
763.495000124,389.744
765.495000124,370.968
767.577000141,566.224
769.577000141,291.204
771.577000141,226.676
773.616000175,576.204
775.617000103,361.576
777.575000048,500.916
779.575000048,1012.276
781.57400012,723.548
783.614000082,666.452
785.573000193,542.456
787.573000193,574.772
789.572000027,508.748
791.611999989,404.96
793.572000027,320.076
795.571000099,314.332
797.571000099,394.108
799.570000172,453.016
801.570000172,438.22
803.569000006,392.204
805.569000006,467.24
807.568000078,414.464
809.568000078,450.64
811.567000151,454.92
813.567000151,456.248
815.567000151,460.184
817.565999985,410.428
819.565999985,538.092
821.565000057,475.472
823.565000057,461.844
825.56400013,500.892
827.56400013,475.384
829.563000202,497.912
831.603000164,488.812
833.601999998,490.576
835.601999998,571.124
837.601000071,532.212
839.603000164,598.5
841.601999998,537.156
843.601999998,520.768
845.601000071,537.984
847.601000071,541.072
849.600000143,586.248
851.642000198,525.316
853.641000032,520.932
855.641000032,548.512
857.640000105,508.32
859.640000105,569.324
861.639000177,402.304
863.639000177,497.128
865.638000011,325.64
867.638000011,560.952
869.637000084,382.468
871.637000084,314.196
873.637000084,380.036
875.636000156,325.172
877.636000156,363.656
879.63499999,366.872
881.63499999,381.8
883.634000063,444.7
885.634000063,368.756
887.633000135,394.544
889.633000135,375.352
891.632000208,276.216
